Game,Year,Genre,Publisher,North America,Global,Score,Gamers,Completion Percentage,Rating,Minimum Completion Time,Maximum Completion Time
Assassin's Creed Chronicles: India,,Action,,0.0,0.0,590,2953,18.6,3.2,12,15
The Walking Dead: Michonne,,Adventure,,0.0,0.0,324,20260,87.5,3.7,1,2
Unravel,,Platform,,0.0,0.0,2396,37563,21.5,4.0,10,12
Final Fantasy VII Remake,2019.0,Role-Playing,Square Enix,0.0,0.0,2334,98925,18.1,4.6,60,80
Tiny Troopers Joint Ops,2014.0,Action,Unknown,0.0,0.0,907,17872,6.7,2.9,6,8
Hardware: Rivals,,Action,,0.0,0.0,4355,41631,5.4,2.6,40,50
The Binding of Isaac: Rebirth,,Action,,0.0,0.0,5150,23668,1.0,4.4,150,200
Fe,,Action,,0.0,0.0,2030,5205,31.5,3.5,10,12
Days Gone,2019.0,Action-Adventure,Sony Interactive Entertainment,0.0,0.0,4788,121982,1.1,4.2,60,80
Metro Exodus,2019.0,Shooter,Deep Silver,0.0,0.0,3820,34285,2.5,3.9,20,25
Anthem,2019.0,Role-Playing,Electronic Arts,0.0,0.0,3133,46185,6.9,3.0,50,60
Chaos on Deponia,2017.0,Adventure,Daedalic Entertainment,0.0,0.0,1500,1074,77.6,3.3,3,4
The Mummy Demastered,,Action,,0.0,0.0,1944,1889,35.5,3.9,6,8
